@relation performance-counters

@attribute BRANCH_INSTRUCTIONS_RETIRED numeric
@attribute CACHE-REFERENCES numeric
@attribute CYCLES numeric
@attribute INSTRUCTION_RETIRED numeric
@attribute INSTRUCTIONS numeric
@attribute LLC_MISSES numeric
@attribute LLC_REFERENCES numeric
@attribute MAJOR-FAULTS numeric
@attribute MINOR-FAULTS numeric
@attribute MISPREDICTED_BRANCH_RETIRED numeric
@attribute UNHALTED_CORE_CYCLES numeric
@attribute UNHALTED_REFERENCE_CYCLES numeric
@attribute class {M0,M1,M2,M3}

@data
21433620,989254,140455635,196810272,202782138,55538,505756,0,151,696626,171694938,13,M0
21729708,973148,130631269,196522986,193806267,56052,507521,0,152,641476,166039903,6,M0
43567523,1009145,137431305,101283844,102760769,55803,996530,0,149,612832,84825635,6,M0
22639167,996166,135102639,159422401,198495259,57910,848538,0,155,711688,139168410,13,M0
21898685,1008881,137554347,103548304,207124059,57209,490831,0,155,663268,171752146,6,M0
45581030,478110,136133068,101569115,205241895,110340,477784,0,155,688295,84621201,6,M0
22861785,1032789,141398092,202778356,104240940,58003,1010118,0,158,735442,170017243,13,M0
22061833,1035636,137667139,201728866,205152888,58485,523585,0,154,663246,174152569,6,M0
21684243,974231,134493742,197932817,99041293,50030,967061,0,148,661882,164539446,13,M0
22328151,1004233,138273182,203348183,199464569,55071,524851,0,151,690992,172212885,14,M0
21743764,1018709,136643387,201484311,200099866,55315,517745,0,152,695995,171069063,6,M0
21311675,959109,131913979,188823733,190029281,53155,502637,0,144,664895,162937606,6,M0
21705045,923180,130572031,196357457,195026103,53986,514760,0,148,635997,164117539,14,M0
22183693,969886,134048471,199079045,199276416,57925,508684,0,152,649728,166849191,13,M0
22447944,976943,135491051,204319336,205519550,55078,502460,0,151,702048,169267229,6,M0
22369538,977814,139046097,101317468,204893296,53667,474054,0,152,679958,168457119,6,M0
22205625,974427,134561946,200600667,196406996,56820,523461,0,154,690945,169757919,13,M0
21664625,1007982,133807249,97427374,196755611,56022,520831,0,151,655755,167182865,6,M0
22375816,978553,134449440,199238694,200387998,56920,502054,0,154,704925,170076903,6,M0
22567808,998595,144131851,199537479,105554598,58324,1018103,0,154,711833,173904476,13,M0
21992447,1026558,132686791,202820438,200700923,56896,515135,0,158,641706,168574268,6,M0
22143275,1020415,132880724,197582169,194804981,54893,505464,0,149,686415,164811418,6,M0
22843350,489376,138734949,206917576,103528963,57137,1007182,0,156,639058,173053842,14,M0
53511856,1118713,89687898,136155208,163570018,91922,905416,0,191,203447,117446092,247,M0
